layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,649,OK,0,9.995,146,471,"0 w=2	18 8 w=0	22 2 w=2	2 3 w=9	7 4 w=3	15 4 w=10	21 1 w=6	3 3 w=13	3 4 w=11	6 4 w=5	27 4 w=9	5 6 w=3	0 5 w=12	22 6 w=1	20 6 w=7	11 3 w=6	11 5 w=4	23 5 w=7	24 4 w=14	4 4 w=3	12 4 w=14	4 7 w=4	
12	1 0 w=13	18 3 w=14	25 0 w=11	1 1 w=2	3 1 w=12	9 2 w=14	29 3 w=13	10 2 w=0	6 3 w=3	24 1 w=0	29 5 w=13	15 7 w=4	
21	8 0 w=9	0 0 w=3	0 2 w=0	14 1 w=6	23 1 w=10	23 2 w=12	14 3 w=12	7 2 w=4	14 4 w=6	25 2 w=3	19 2 w=12	12 0 w=13	4 2 w=5	25 4 w=5	1 5 w=9	16 2 w=13	24 2 w=6	16 3 w=6	10 4 w=0	27 5 w=2	4 6 w=12	
","Final solution: 649
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1013,10,619,OK,0,9.743,146,471,"w=8	
29	28 0 w=12	17 0 w=4	29 0 w=5	21 1 w=8	27 0 w=11	28 2 w=12	24 4 w=1	18 0 w=7	3 3 w=10	0 5 w=4	11 3 w=8	3 4 w=1	10 1 w=5	8 3 w=10	22 2 w=2	12 4 w=14	5 5 w=12	5 6 w=7	2 3 w=9	6 4 w=8	11 5 w=5	4 4 w=1	15 4 w=10	20 6 w=7	27 4 w=1	7 4 w=13	18 7 w=4	22 6 w=4	18 8 w=7	
7	0 1 w=3	6 3 w=4	10 2 w=1	9 3 w=14	18 3 w=0	15 7 w=13	29 5 w=13	
18	0 0 w=1	16 2 w=7	23 1 w=12	0 2 w=4	24 2 w=5	14 1 w=6	25 2 w=2	25 3 w=5	19 2 w=12	12 0 w=13	16 3 w=3	6 1 w=5	23 4 w=3	26 2 w=0	19 5 w=3	4 6 w=2	27 5 w=0	14 4 w=8	
","Final solution: 619
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1019,10,579,OK,0,9.727,146,471,"3 w=13	13 2 w=9	4 4 w=14	22 2 w=5	6 4 w=5	24 4 w=2	18 5 w=1	11 3 w=6	15 4 w=10	12 4 w=14	7 4 w=2	3 3 w=13	18 7 w=4	22 6 w=10	18 8 w=7	0 5 w=9	3 4 w=11	11 5 w=4	5 5 w=8	5 6 w=3	
12	25 0 w=14	26 0 w=2	8 2 w=0	24 1 w=0	3 1 w=3	9 3 w=0	10 2 w=4	25 5 w=14	18 3 w=2	1 1 w=0	14 0 w=9	29 5 w=13	
23	9 0 w=0	8 0 w=9	25 2 w=14	25 3 w=5	0 0 w=5	25 4 w=5	24 2 w=12	0 2 w=14	7 2 w=4	16 2 w=12	6 1 w=7	12 0 w=13	19 2 w=2	4 6 w=11	18 4 w=10	23 1 w=12	23 2 w=3	23 4 w=4	14 1 w=3	16 3 w=2	19 5 w=3	27 5 w=0	14 4 w=6	
","Final solution: 579
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1009,10,3845,OK,0,9.749,1221,2071,"w=1	0 13 w=4	9 11 w=5	14 14 w=1	14 15 w=7	10 13 w=8	15 16 w=2	19 10 w=7	17 10 w=6	11 11 w=9	8 10 w=2	2 14 w=6	16 11 w=8	16 13 w=13	8 18 w=9	6 6 w=2	6 9 w=9	
36	11 0 w=12	9 2 w=10	14 3 w=8	7 1 w=9	2 3 w=13	18 3 w=7	1 3 w=13	18 8 w=14	12 3 w=3	8 6 w=3	4 8 w=14	0 11 w=0	1 6 w=4	0 12 w=14	13 11 w=4	2 10 w=12	13 12 w=7	19 2 w=14	3 14 w=2	15 15 w=8	5 6 w=10	16 9 w=11	10 12 w=0	12 9 w=12	8 9 w=11	18 19 w=8	10 14 w=0	11 9 w=6	14 19 w=1	5 12 w=7	10 16 w=1	13 14 w=2	11 14 w=3	7 18 w=8	6 4 w=1	17 13 w=13	
","Final solution: 3845
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1013,10,3577,OK,0,9.756,1221,2071,"17 w=9	7 17 w=14	11 11 w=0	10 11 w=7	4 12 w=12	9 11 w=0	9 13 w=4	11 13 w=12	12 14 w=8	1 17 w=6	4 15 w=4	6 9 w=9	6 14 w=1	
40	14 1 w=0	9 2 w=8	7 1 w=9	8 1 w=0	0 1 w=3	15 2 w=5	8 3 w=14	17 8 w=2	8 5 w=5	10 1 w=13	16 7 w=8	16 8 w=4	7 10 w=3	18 5 w=10	14 7 w=12	6 4 w=5	1 7 w=9	19 7 w=13	6 6 w=7	9 5 w=0	13 11 w=7	15 12 w=4	17 13 w=13	0 11 w=11	8 9 w=10	15 15 w=10	2 14 w=10	1 9 w=0	8 13 w=1	3 15 w=12	10 12 w=6	7 21 w=12	10 14 w=0	11 12 w=0	5 12 w=8	19 15 w=10	11 14 w=3	11 15 w=11	9 17 w=12	4 19 w=13	
","Final solution: 3577
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1019,10,3753,OK,0,9.753,1221,2071,"w=5	3 15 w=7	11 11 w=6	12 11 w=3	13 12 w=14	11 13 w=12	10 13 w=3	10 14 w=0	5 14 w=1	6 9 w=9	10 17 w=6	
43	11 0 w=13	0 0 w=5	0 1 w=5	2 2 w=2	8 1 w=7	16 2 w=4	10 1 w=7	15 2 w=5	16 4 w=6	8 4 w=10	13 6 w=7	9 3 w=4	11 10 w=7	6 3 w=1	14 7 w=4	16 11 w=8	7 8 w=14	16 14 w=10	1 9 w=10	18 7 w=14	18 8 w=7	19 10 w=5	12 7 w=7	14 12 w=1	9 9 w=9	2 11 w=3	0 11 w=8	0 12 w=0	14 19 w=3	1 14 w=9	6 4 w=7	3 17 w=0	6 5 w=12	17 7 w=8	11 12 w=7	6 6 w=1	17 10 w=9	17 11 w=6	9 13 w=5	18 19 w=8	17 15 w=1	9 17 w=11	2 22 w=5	
","Final solution: 3753
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1009,10,13,OK,0,9.730,10,11," w=12	0 1 w=1	11 1 w=2	12 3 w=9	5 1 w=10	
4	13 1 w=0	0 3 w=1	2 2 w=0	6 1 w=8	
4	8 1 w=2	0 2 w=0	1 1 w=7	8 3 w=7	
4	5 0 w=8	7 2 w=10	4 3 w=12	2 3 w=14	
5	3 0 w=0	3 1 w=3	6 0 w=11	7 3 w=0	13 3 w=3	
6	10 0 w=5	10 1 w=7	3 2 w=3	4 1 w=11	14 2 w=4	14 3 w=5	
7	7 0 w=13	2 0 w=11	1 0 w=4	8 2 w=12	4 2 w=14	10 3 w=6	11 3 w=4	
6	14 0 w=7	11 0 w=13	7 1 w=6	9 1 w=4	13 2 w=2	1 3 w=1	
5	4 0 w=1	10 2 w=5	2 1 w=3	14 1 w=8	11 2 w=10	
9	8 0 w=12	12 0 w=6	9 0 w=3	12 1 w=9	12 2 w=3	9 2 w=11	1 2 w=1	9 3 w=13	3 3 w=2	
","Final solution: 13
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1013,10,13,OK,0,9.738,10,11,"0 w=5	0 1 w=3	5 1 w=10	7 2 w=9	12 3 w=8	
5	13 0 w=2	13 1 w=5	9 3 w=6	14 3 w=2	10 3 w=0	
5	8 0 w=1	8 1 w=13	2 2 w=1	0 2 w=3	0 3 w=7	
6	1 0 w=12	5 0 w=8	8 2 w=2	2 3 w=14	1 3 w=4	4 3 w=6	
6	3 0 w=8	7 1 w=7	3 1 w=7	11 1 w=10	7 3 w=10	13 3 w=1	
6	4 1 w=12	10 1 w=2	14 1 w=0	14 2 w=4	3 2 w=5	11 2 w=9	
6	7 0 w=0	2 0 w=11	2 1 w=1	12 1 w=11	4 2 w=0	11 3 w=5	
4	11 0 w=5	14 0 w=9	9 1 w=4	13 2 w=6	
5	4 0 w=4	10 0 w=3	10 2 w=12	3 3 w=11	6 1 w=3	
7	9 0 w=3	12 0 w=6	1 1 w=13	9 2 w=0	1 2 w=12	12 2 w=1	8 3 w=14	
","Final solution: 13
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1019,10,12,OK,0,9.740,10,11," 0 w=4	5 1 w=10	9 1 w=4	6 1 w=5	12 3 w=11	
7	5 0 w=1	0 1 w=3	4 2 w=3	2 2 w=5	7 3 w=4	9 3 w=0	10 3 w=12	
5	8 0 w=1	0 2 w=0	8 1 w=14	14 1 w=0	14 2 w=12	
3	7 0 w=0	7 2 w=13	2 3 w=14	
5	3 0 w=8	3 1 w=3	11 1 w=8	13 3 w=1	14 3 w=3	
4	4 1 w=14	3 2 w=10	1 1 w=1	0 3 w=8	
6	0 0 w=6	2 0 w=11	1 0 w=4	2 1 w=6	8 2 w=9	11 3 w=4	
6	14 0 w=9	11 0 w=5	7 1 w=2	13 2 w=7	4 3 w=6	1 3 w=1	
6	4 0 w=7	10 0 w=2	13 1 w=13	10 2 w=3	11 2 w=10	3 3 w=2	
8	9 0 w=3	12 0 w=12	10 1 w=1	12 1 w=9	12 2 w=2	9 2 w=0	1 2 w=5	8 3 w=10	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Fattahi20,6_Fattahi_20_workers,Fattahi,1009,10,1260,OK,0,9.731,880,1147,"makespan=1260
5	4 0 w=9	3 0 w=7	2 0 w=11	0 0 w=6	1 0 w=7	
5	6 0 w=1	8 0 w=9	11 0 w=4	0 1 w=8	1 1 w=10	
6	7 0 w=6	10 0 w=7	5 1 w=3	6 1 w=0	11 1 w=0	10 1 w=9	
5	5 0 w=8	9 0 w=5	8 1 w=1	0 2 w=7	5 3 w=5	
8	4 1 w=10	4 2 w=3	3 1 w=10	2 2 w=2	9 1 w=5	9 2 w=1	6 3 w=4	1 3 w=6	
7	7 1 w=8	3 2 w=10	3 3 w=9	6 2 w=2	8 3 w=8	1 2 w=5	10 3 w=7	
7	2 1 w=0	7 2 w=8	5 2 w=10	8 2 w=3	11 2 w=11	10 2 w=9	9 3 w=2	
5	4 3 w=11	2 3 w=6	7 3 w=6	0 3 w=0	11 3 w=3	
","Final solution: 1260
Schedule exported to ../../output.csv
"
